"RegistrationMark",Manufacturer,Model,Serial Number,Registered Owner,Date of Registration
VP-CEA,Airbus,C-295H,166,SAL Aviation Number 2 Limited,12/Oct/21
VP-CEB,Bombardier,BD-700-1A10,9415,"Chailease International Financial Services Co., Ltd.",2/Dec/20
VP-CEC,The Boeing Company,737-9HWER,37546,Horizon Aviation Holding Services Limited,23/Jul/13
VP-CED,Airbus,C-295H,167,SAL Aviation Number 1 Limited,28/Oct/21
VP-CEE,"Gulfstream Aircraft Corporation",GVI (G650ER),6255,FLY HIGH DEVELOPMENTS LIMITED,1/Apr/22
VP-CEJ,Bombardier Inc.,"BD-700-1A10 (Global 6000)",9760,Allcore Holdings Limited,6/Sep/17
VP-CEM,Boeing,777-3ZGER,37939,AS Air Lease 113 (Ireland) Limited,1/Jun/22
VP-CEN,"Gulfstream Aircraft Corporation",GVII-G600,73017,ZZ Asset Management Company Limited,5/Mar/20
VP-CEO,Bombardier Inc.,BD-700-1A10,9416,Wings of Grace Limited,25/Nov/11
VP-CER,"Gulfstream Aircraft Corporation",GVI (G650ER),6224,Ironix Ventures Ltd.,29/Jul/21
VP-CET,Boeing,737-700,38128,TC Skyward Aviation Ireland Limited,17/Feb/22
VP-CEU,Airbus Industrie,A330-202,825,Union 20 Leasing Limited,2/Feb/21
VP-CEV,Airbus Industrie,A330-202,831,Union 20 Leasing Limited,26/Jan/21
VP-CEW,Bombardier Inc.,"BD-700-1A10 (Global 6000)",9652,Denning Limited,30/Jun/15
VP-CEX,Dassault Aviation,Falcon 7X,221,Across The Universe Ltd.,3/Jul/18
VP-CFC,Cessna Aircraft Company,Model 172M Skyhawk,17262038,Cayman Flying Club,25/Jul/11
VP-CFE,"Gulfstream Aircraft Corporation",GVI (G650ER),6109,Challenger Aero Cayman,13/Mar/19
VP-CFF,"Airbus Helicopters Deutschland GmbH",EC155 B1,6988,Bayside Systems Limited,11/Apr/14
VP-CFG,Bombardier,BD-700-1A10,60014,LSFL Cayman Company Limited,7/Dec/20
VP-CFJ,"Gulfstream Aircraft Corporation",GVI (G650ER),6464,Blue 51 Limited,16/Nov/21
VP-CFK,Bombardier,"BD-700-2A12 (Global 7500)",70009,Dritte AIR-NOVA GmbH,1/Jul/19
VP-CFL,Leonardo,AW109SP,22262,Flight Services Limited,1/Apr/22
VP-CFM,Bombardier,"BD-700-1A10 (Global 6000)",9756,AK VI Limited,1/Jul/22
VP-CFO,Bombardier,BD-700-1A10,9635,Second Kingdom Holdings Limited,21/Sep/20
VP-CFP,Cessna,Model 750 (Citation X),750-0021,Clive Frederick Palmer,21/Jul/20
VP-CFS,Airbus Helicopters,EC155 B,6580,Brac and Forth Limited,12/Apr/21
VP-CFZ,Bombardier,CL-600-2B19,8068,AK VI Limited,23/Apr/18
VP-CGC,Airbus Helicopters,EC 130 T2,8478,Sky Vision Enterprises Limited,17/Sep/18
VP-CGD,Boeing,737-800,28328,ACS Aero 2 Omega Limited,8/Feb/22
VP-CGE,Boeing,737-883,32277,ACS Aero 2 Omega Limited,14/Jan/22
VP-CGF,Boeing,B737-800,30878,ACS Aero 3 Omega Limited,28/Mar/22
VP-CGG,Boeing,737-700,35140,ACS Aero 3 Omega Limited,22/Mar/22
VP-CGI,Airbus Industrie,A330-243,1249,TC Skyward Aviation Ireland Limited,21/May/21
VP-CGJ,Airbus Industrie,A321-231,5350,TC Skyward Aviation Ireland,16/Dec/20
VP-CGL,Bombardier,"BD-700-1A10 (Global 6000)",9729,Twenty 27 G (BVI) Limited,22/Oct/19
VP-CGM,Boeing,737-86Q,30281,ACS Aero 2 Omega Limited,21/Jan/22
VP-CGN,"Gulfstream Aircraft Corporation",GVI (G650),6112,Geniethree Limited,10/Mar/15
VP-CGO,Bombardier,"BD-700-1A10 (Global Express)",9171,Twinwood Transportation (Cayman) Limited,16/Jul/19
VP-CGP,"Gulfstream Aircraft Corporation",GVI (G650ER),6318,UP Aviation Limited,19/Jan/22
VP-CGV,Boeing,737-800,32773,ACS Aero 2 Omega Limited,17/Dec/21
VP-CGW,Airbus Industrie,A320-232,6455,ZF Ireland Aircraft 68 Limited,6/Sep/18
VP-CGX,Airbus Industrie,A320-232,6474,ZF Ireland Aircraft 44 Limited,18/Jan/18
VP-CGY,Airbus Industrie,A320-232,6583,DAE 6583 Ireland Limited,15/Mar/19
VP-CHA,Airbus Industrie,A320-232,5182,Al Hokair Aviation Group Ltd.,1/Jul/14
VP-CHB,Airbus Helicopters,EC145,20257,EC145-T2 Limited,1/Aug/19
VP-CHC,Airbus Helicopters,MBB BK117 D-2,20175,EC145-T3 Limited,21/Jun/19
VP-CHE,Leonardo S.p.A.,AW139,31475,AW139-H1 Limited,23/Mar/20
VP-CHH,"Gulfstream Aircraft Corporation",GV-SP (G550),5388,Sky Color Limited,9/Apr/20
VP-CHI,"Gulfstream Aerospace Corporation",GV-SP (G550),5415,L.A. Aviation,27/Jun/13
VP-CHK,Airbus Helicopters,MBB BK117 C2,9283,EC145 Limited,25/May/21
VP-CHM,Dassault Aviation,Falcon 7X,439,AWING INTERNATIONAL LIMITED,27/Nov/19
VP-CHO,Viking Air Limited,DHC-6 Series 400,967,Sea Aviation 4 Limited,27/Mar/20
VP-CHP,Viking,Series 400 VIP-VII,960,Sea Aviation Limited,10/Apr/18
VP-CHQ,Agusta,AW139,31875,AW139-H2 Limited,28/Feb/20
VP-CHR,Viking Air Limited,DHC-6 Series 400,952,Sea Aviation 2 Limited,6/Sep/17
VP-CHS,Sikorsky,S-76C,760547,Helicopter Operations International SEZC Ltd.,20/Jun/19
VP-CHU,Sikorsky,S-76C,760574,Helicopter Operations International SEZC Ltd.,20/Jun/19
VP-CHW,"Airbus Helicopter Deutschland GmbH",MBB BK117 C2,9570,EC145 Limited,26/May/21
VP-CHX,Dassault Aviation,Falcon 7X,418,Happy Spread Interational (Cayman) Limited,18/Jun/18
VP-CHZ,"Gulfstream Aircraft Corporation",GVI (G650ER),6383,Time Master Limited,6/Sep/19
VP-CIF,Bombardier Inc.,CL-600-2B16,5807,SEIF AVIATION CO. LTD,9/Jul/10
VP-CIG,Dassault Aviation,Falcon 7X,122,MASC Air Limited,5/Sep/11
VP-CIH,"Airbus Helicopters Deutschland GmbH",AS 350 BA,1411,Helico Store International,17/Nov/14
VP-CIO,Learjet Inc.,Model 60XR,60-350,Phoenix XXII Aviation Ltd.,10/Jun/14
VP-CIP,"Gulfstream Aircraft Corporation",GVII-G600,73042,Hibou Ltd.,2/Feb/21
VP-CIV,Embraer,ERJ 190-100 IGW,19000167,Celestial Aviation Trading 7 Limited,20/May/22
VP-CIW,Boeing,737-8,63809,Cayman Airways Limited,28/Nov/18
VP-CIX,Boeing,737-8,63561,Cayman Airways Limited,6/Mar/19
VP-CIY,Boeing,737-8,43308,Cayman Airways Limited,26/Mar/21
VP-CIZ,Boeing,B737-8,43336,Cayman Airways Limited,19/Jan/22
