Aircraft_name;Legal_Basis;Aircraft_model_category;Minimum_Crew;Maximum_Passengers;MTOM_kg;ELA1_flag;ELA2_flag;Complex_aircraft;Number_of_engines;Count_of_Propellers;ICAO;Aircraft_Construction_Year;Initial_Registration_Date;Import_Previous_country;Engine_1_Manufacturer;Engine_1;Engine_2_Manufacturer;Engine_2;Engine_3_Manufacturer;Engine_3;Engine_4_Manufacturer;Engine_4;
"S-6 Coyote II ES Mod.";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"1991";"25.07.1994";"";"Bombardier-Rotax GmbH";"Rotax 582";"";"";"";"";"";"";
"S-6 Coyote II ES Mod.";"Annex I";"Ultralights";"1";"1";"495,00";"False";"False";"False";"1";"1";"ULAC";"1991";"12.04.1994";"";"Jabiru Aircraft Pty Ltd";"Jabiru 2200";"";"";"";"";"";"";
"S-6 Coyote II Mod";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"1989";"13.10.1993";"";"Jabiru Aircraft Pty Ltd";"Jabiru 2200";"";"";"";"";"";"";
"S-6 Coyote II Mod.";"Annex I";"Ultralights";"1";"1";"425,00";"False";"False";"False";"1";"1";"ULAC";"1990";"02.04.2009";"";"Bombardier-Rotax GmbH";"Rotax 582 UL";"";"";"";"";"";"";
"S-6 Coyote II Mod.";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"1990";"29.10.1993";"";"Bombardier-Rotax GmbH";"Rotax 582";"";"";"";"";"";"";
"S-6 Coyote II Mod.";"Annex I";"Ultralights";"1";"1";"470,00";"False";"False";"False";"1";"1";"ULAC";"1990";"13.05.1993";"";"Jabiru Aircraft Pty Ltd";"Jabiru 2200";"";"";"";"";"";"";
"S-6 Coyote II Mod.";"Annex I";"Ultralights";"1";"1";"375,00";"False";"False";"False";"1";"1";"ULAC";"1990";"15.01.2004";"";"Bombardier-Rotax GmbH";"Rotax 582 UL";"";"";"";"";"";"";
"S-6 Coyote II Mod.";"Annex I";"Ultralights";"1";"1";"475,00";"False";"False";"False";"1";"1";"ULAC";"1989";"13.07.1993";"";"Simoni Racing S.r.l";"Simoni Victor 2 Plus";"";"";"";"";"";"";
"S-6 Coyote II Mod.";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"1990";"19.08.1993";"";"Bombardier-Rotax GmbH";"Rotax 618";"";"";"";"";"";"";
"S-6 Coyote II Mod.";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"1990";"07.03.1995";"";"Experimental";"Volkswagen VW 1833";"";"";"";"";"";"";
"S-6 Coyote II mod.";"Annex I";"Ultralights";"1";"1";"430,00";"False";"False";"False";"1";"1";"ULAC";"1989";"12.04.1994";"";"Experimental";"Volkswagen VW 1835";"";"";"";"";"";"";
"S-6 Coyote II Mod.";"Annex I";"Ultralights";"1";"1";"500,00";"False";"False";"False";"1";"1";"ULAC";"1990";"14.06.1993";"";"Bombardier-Rotax GmbH";"Rotax 582";"";"";"";"";"";"";
"S-6 Coyote II Mod.";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"1991";"27.05.1994";"";"Experimental";"Volkswagen VW 1800";"";"";"";"";"";"";
"S-6 Coyote Mod.";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"1990";"05.06.2006";"";"Jabiru Aircraft Pty Ltd";"Jabiru 2200";"";"";"";"";"";"";
"Saab 91D Safir";"Annex I";"Airplanes";"1";"3";"1205,00";"False";"False";"False";"1";"1";"SB91";"1953";"16.09.1954";"Finland";"Textron Lycoming";"Lycoming O-360-A1A";"";"";"";"";"";"";
"Saab 91D Safir";"Annex I";"Airplanes";"1";"2";"1205,00";"False";"False";"False";"1";"1";"SB91";"1961";"13.09.1983";"";"Textron Lycoming";"Lycoming O-360-A1A";"";"";"";"";"";"";
