#,REG,MAKE,MODEL,SERIES,MSN,OPERATOR NAME,OPERATOR ADDRESS
79,DQ-DNT,PARTENAVIA,PARTENAVIA P68B,,O42,ADVANCE AVIATION TRAINING (FIJI) LTD,"P.O. BOX 10864,"
,,,,,,,"NADI AIRPORT, FIJI"
,,,,,,,
80,DQ-WWT,CESSNA AIRCRAFT CORPORATION,CESSNA 150,100,15077914,ADVANCE AVIATION TRAINING (FIJI) LTD,"P.O. BOX 10864,"
,,,,,,,"NADI AIRPORT, FIJI"
,,,,,,,
81,DQ-AAT,CESSNA AIRCRAFT CO. WICHITA USA,CESSNA 172RG,100,836,ADVANCE AVIATION TRAINING (FIJI) LTD,"P.O. BOX 10864,"
,,,,,,,"NADI AIRPORT, FIJI"
,,,,,,,
82,DQ-FTE,CESSNA AIRCRAFT COMPANY,CESSNA 172RG,100,17280737,SUNFLOWER AVIATION LIMITED,P.O. BOX 9452
,,,,,,,"LONDON AVENUE, CAAF COMPOUND, NADI, FIJI"
83,DQ-JJS,BRITTEN NORMAN,BN2A-26 ISLANDER,,856,NORTHERN AIR SERVICE CHARTER LTD,"NAUSORI AIRPORT, HANGAR 2, HANGAR RD, P.O. BOX 1749, NAUSORI AIRPORT"
84,DQ-DXD,CESSNA AIRCRAFT COMPANY,CESSNA U206F,200,U206-02912,MUSKET COVE RESORT LTD,"MUSKET COVE RESORTS LTD, PRIVATE MAIL BAG, NADI AIRPORT, FIJI"
85,DQ-SST,CESSNA AIRCRAFT CORP-USA,CESSNA 150M,100,15078438,ADVANCE AVIATION TRAINING (FIJI) LTD,"P.O. BOX 10864,"
,,,,,,,"NADI AIRPORT, FIJI"
86,DQ-LIR,HAWKER BEECHCRAFT,B200 SUPER KING AIR,,BB1902,LAUCALA ISLAND RESORT LTD,"P.O.BOX 41, WAIYEVO TAVEUNI, LAUCALA ISLAND, FIJI"
87,DQ-LIA,PIPER AIRCRAFT INC.,PIPER CHIEFTAIN PA-31,-350,31-8052116,SUNFLOWER AVIATION LIMITED,P.O. BOX 9452
,,,,,,,"LONDON AVENUE, CAAF COMPOUND, NADI, FIJI"
88,DQ-KKT,CESSNA,CESSNA 150,100,15076720,ADVANCE AVIATION TRAINING (FIJI) LTD,"P.O. BOX 10864,"
,,,,,,,"NADI AIRPORT, FIJI"
,,,,,,,
89,DQ-KVV,VIKING CANADA,DHC- 6 TWIN OTTER,-300,838,PLYMONT LTD,"P.O. BOX 588, SUVA, FIJI"
90,DQ-HMY,"EUROCOPTER, FRANCE",AS 350 BA,,1052,ISLAND HOPPERS LTD,"HANGAR II, BRADFIELD DRIVE, P.O. BOX 11364"
,,,,,,,"NADI AIRPORT, FIJI"
91,DQ-HFX,"EUROCOPTER, FRANCE",AS 350 BA,,2441,ISLAND HOPPERS LTD,"HANGAR II, BRADFIELD DRIVE, P.O. BOX 11364"
,,,,,,,"NADI AIRPORT, FIJI"
92,DQ-URI,KAVANAGH INVESTMENT TRUST,KAVANAGH HOT AIR BALLOON E300,-,E300-393,RIVIERA (BALLOONS) LTD,"SHOP 8 PORT DENARAU SHOPPING CENTRE, NADI, FIJI"
93,DQ-RES,CESSNA,CESSNA U206 G,200,U20604733,TURTLE AIRWAYS LTD,"P.O. BOX 9317, NADI AIRPORT, FIJI"
,,,,,,,"TURTLE ISLAND RESORT, YASAWA ISLAND, FIJI"
94,DQ-REJ,VIKING AIR LIMITED,DHC 2 MKI-BEAVER,,1544,TURTLE AIRWAYS LTD,"P.O. BOX 9317, NADI AIRPORT, FIJI"
,,,,,,,"TURTLE ISLAND RESORT, YASAWA ISLAND, FIJI"
,DQ-LIH,BEECHCRAFT CORPORATION,BEECHCRAFT KING AIR 300 LW,-300,FA228,AIR LAUCALA LTD,PO BOX 11479
95,,,,,,,NADI AIRPORT
96,DQ-LIG,BEECHCRAFT CORPORATION,BEECH B300,-300,1 FL 756,AIR LAUCALA LTD,PO BOX 11479
,,,,,,,NADI AIRPORT
97,DQ-ISL,"EUROCOPTER, FRANCE",AS 350 B2,,9062,KOKOMO RESORT LTD,"LOT 2, LONDON AVENUE, FIJI AIRPORTS COMPOUND, NADI AIRPORT"
98,DQ-VAN,GIPPSLAND AERONAUTIC PTY LTD,GA8-TL-320,-,GA8-TL 320-09-120,SUNFLOWER AVIATION LIMITED,P.O. BOX 9452
,,,,,,,"LONDON AVENUE, CAAF COMPOUND, NADI, FIJI"
