MMSI,IMO,Status,Name,Callsign,Type,Build Date,Gross Tonnage,Flag,Owner IMO Number,ITU VIN
205657000,9588392,In Service,ILMA,ONHX,Oil Tanker,2012-05,"160,716",Belgium,1950845,
205660000,,In Service,GUYENNE,ONHW,Tanker,,,Belgium,,
205661000,4701951,In Service,BNS POLLUX,ORJU,Belgium Navy Ship,2015-04,569,Belgium,3003309,
205662000,4701949,In Service,CASTOR,ORJT,Belgium Navy Ship,2014-10,569,Belgium,3003309,
205663000,9529968,In Service,IRIS,ONID,Oil Tanker,2012-02,"160,716",Belgium,1950845,
205664000,9659127,In Service,WAREGEM,ONIA,LPG Tanker,2014-09,"25,143",Belgium,5059676,
205667000,,Not Found,NOBLE,ONHZ,Oil Tanker,,,Belgium,,
205668000,,In Service,SONIA,ONIC,Tanker,,,Belgium,,
205670000,9529956,In Service,INGRID,ONHY,Oil Tanker,2012-01,,Belgium,1950845,
205673000,9510620,In Service,PAGADDER,ORPJ,Dredger,2009-11,"2,427",Belgium,6248293,
205675000,,In Service,SOMERSET,ONIH,Cargo,,,Belgium,,
205676000,,Not Found,CMB PAUILLAC,ONII,Cargo,,,,,
205677000,9457543,In Service,HOJO,ONIG,Oil Tanker,2013-04,"156,990",Belgium,1950845,
205679000,,Not Found,DUBBELE SENIOR,OPGY,N/A,,,,,
205680000,,In Service,CL ANTWERP,ONIJ,Bulk Carrier,,,Belgium,,
205681000,9659139,In Service,WARISOULX,ONIE,LPG Tanker,2015-01,"25,143",Belgium,5059676,
205682000,,In Service,OMALIUS,ORRS,Supply,,,Belgium,,
205684000,9322592,In Service,SMIT NICOBAR,ORRT,Supply,2006-05,"2,606",Belgium,5800341,
205685000,9687497,In Service,KNOKKE,ONIL,LPG Tanker,2016-02,"26,261",Belgium,5059676,
205686000,9709087,In Service,ALICE,ONIM,Oil Tanker,2016-01,"154,379",Belgium,"154,379",
205687000,9760017,In Service,GIANT 7,ORRU,Other,,,Belgium,,
205688000,9137301,In Service,MAREMKA,ONIN,General Cargo,1996-02,"1,864",Belgium,,
205689000,9345362,In Service,FAST HERMAN,ONIO,General Cargo,2006-02,"2,474",Belgium,5246507,
